wellName,datasetName,MD,AZIM_GN,AZIM_TN,DLS,DX,DY,INCL,TVD,X,Y,Z
,,m,,,,,,,,,,
10,010,10,0,1.814,0,0,0,0,10,672223.7,5493776,139.66
10,010,750,0,1.814,0,0,0,0,750,672223.7,5493776,-600.34
10,010,766.667,20,21.814,0.6,0.017,0.046,0.333,766.667,672223.7,5493776,-617.007
10,010,783.333,20,21.814,0.6,0.066,0.182,0.667,783.333,672223.8,5493776,-633.673
10,010,800,20,21.814,0.6,0.149,0.41,1,799.997,672223.8,5493776,-650.337
10,010,825,20,21.814,0,0.298,0.82,1,824.994,672223.9,5493777,-675.334
10,010,850,20,21.814,0,0.448,1.23,1,849.99,672224.1,5493778,-700.33
10,010,858.333,43.246,45.06,1.484,0.524,1.353,1.038,858.322,672224.2,5493778,-708.662
10,010,866.667,62.088,63.902,1.484,0.654,1.45,1.222,866.654,672224.3,5493778,-716.994
10,010,875,75,76.814,1.484,0.838,1.52,1.5,874.985,672224.5,5493778,-725.325
10,010,887.5,73,74.814,0.614,1.127,1.602,1.249,887.481,672224.8,5493778,-737.821
10,010,900,70,71.814,0.614,1.359,1.679,1,899.979,672225,5493778,-750.319
10,010,912.5,67.5,69.314,0.105,1.563,1.758,0.999,912.477,672225.2,5493778,-762.817
10,010,925,65,66.814,0.105,1.762,1.846,1,924.975,672225.4,5493778,-775.315
10,010,950,65,66.814,0,2.158,2.03,1,949.971,672225.8,5493778,-800.311
10,010,962.5,57.5,59.314,0.313,2.348,2.134,0.991,962.469,672226,5493778,-812.809
10,010,975,50,51.814,0.313,2.522,2.263,1,974.967,672226.2,5493778,-825.307
10,010,983.333,66.704,68.517,2.05,2.675,2.351,1.45,983.299,672226.3,5493778,-833.639
10,010,991.667,75.127,76.941,2.05,2.91,2.429,1.962,991.628,672226.6,5493778,-841.968
10,010,1000,80,81.814,2.05,3.226,2.497,2.5,999.955,672226.9,5493778,-850.295
10,010,1012.5,80,81.814,0.6,3.79,2.597,2.75,1012.442,672227.4,5493779,-862.782
10,010,1025,80,81.814,0.6,4.408,2.706,3,1024.926,672228.1,5493779,-875.266
10,010,1037.5,80,81.814,0.6,5.079,2.824,3.25,1037.408,672228.8,5493779,-887.748
10,010,1050,80,81.814,0.6,5.803,2.952,3.5,1049.886,672229.4,5493779,-900.226
10,010,1062.5,82.667,84.48,0.716,6.584,3.07,3.746,1062.361,672230.2,5493780,-912.701
10,010,1075,85,86.814,0.716,7.423,3.16,4,1074.833,672231.1,5493780,-925.173
10,010,1087.5,87.647,89.461,0.746,8.32,3.217,4.246,1087.3,672232,5493780,-937.64
10,010,1100,90,91.814,0.746,9.273,3.236,4.5,1099.764,672232.9,5493780,-950.104
10,010,1112.5,85.294,87.108,1.071,10.223,3.274,4.234,1112.228,672233.9,5493780,-962.568
10,010,1125,80,81.814,1.071,11.112,3.388,4,1124.695,672234.8,5493780,-975.035
10,010,1137.5,80,81.814,0.6,11.944,3.534,3.75,1137.167,672235.6,5493780,-987.507
10,010,1150,80,81.814,0.6,12.722,3.672,3.5,1149.642,672236.4,5493780,-999.982
10,010,1162.5,77.692,79.506,0.689,13.444,3.813,3.247,1162.12,672237.1,5493780,-1012.46
10,010,1175,75,76.814,0.689,14.106,3.973,3,1174.602,672237.8,5493780,-1024.942
10,010,1187.5,72.5,74.314,0.314,14.733,4.156,2.997,1187.084,672238.4,5493780,-1037.424
10,010,1200,70,71.814,0.314,15.352,4.367,3,1199.567,672239,5493780,-1049.907
10,010,1225,70,71.814,0,16.582,4.814,3,1224.533,672240.2,5493781,-1074.873
10,010,1237.5,67.727,69.541,0.665,17.166,5.039,2.747,1237.017,672240.8,5493781,-1087.357
10,010,1250,65,66.814,0.665,17.691,5.268,2.5,1249.504,672241.4,5493782,-1099.844
10,010,1262.5,62.778,64.592,0.644,18.156,5.496,2.248,1261.993,672241.8,5493782,-1112.333
10,010,1275,60,61.814,0.644,18.563,5.717,2,1274.485,672242.2,5493782,-1124.825
10,010,1287.5,57.5,59.314,0.209,18.935,5.943,1.998,1286.977,672242.6,5493782,-1137.317
10,010,1300,55,56.814,0.209,19.298,6.185,2,1299.47,672242.9,5493782,-1149.81
10,010,1312.5,57.5,59.314,0.209,19.66,6.427,1.998,1311.962,672243.3,5493782,-1162.302
10,010,1325,60,61.814,0.209,20.033,6.653,2,1324.454,672243.7,5493783,-1174.794
10,010,1337.5,57.857,59.671,0.627,20.383,6.864,1.748,1336.948,672244.1,5493783,-1187.288
10,010,1350,55,56.814,0.627,20.679,7.059,1.5,1349.443,672244.3,5493783,-1199.783
10,010,1362.5,57.5,59.314,0.157,20.951,7.241,1.499,1361.938,672244.6,5493784,-1212.278
10,010,1375,60,61.814,0.157,21.23,7.41,1.5,1374.434,672244.9,5493784,-1224.774
10,010,1387.5,67.981,69.794,0.788,21.496,7.543,1.232,1386.931,672245.1,5493784,-1237.271
10,010,1400,80,81.814,0.788,21.728,7.612,1,1399.428,672245.4,5493784,-1249.768
10,010,1412.5,82.5,84.314,0.105,21.944,7.645,0.999,1411.926,672245.6,5493784,-1262.266
10,010,1425,85,86.814,0.105,22.16,7.669,1,1424.424,672245.8,5493784,-1274.764
10,010,1437.5,88,89.814,0.614,22.405,7.683,1.249,1436.922,672246.1,5493784,-1287.262
10,010,1450,90,91.814,0.614,22.705,7.688,1.5,1449.418,672246.4,5493784,-1299.758
10,010,1462.5,75,76.814,0.932,23.021,7.729,1.449,1461.914,672246.7,5493784,-1312.254
10,010,1475,60,61.814,0.932,23.316,7.851,1.5,1474.41,672247,5493784,-1324.75
10,010,1487.5,52.5,54.314,0.47,23.586,8.032,1.487,1486.906,672247.2,5493784,-1337.246
10,010,1500,45,46.814,0.47,23.83,8.246,1.5,1499.402,672247.5,5493784,-1349.742
10,010,1512.5,47.5,49.314,0.157,24.066,8.473,1.499,1511.898,672247.8,5493784,-1362.238
10,010,1525,50,51.814,0.157,24.312,8.688,1.5,1524.393,672248,5493785,-1374.733
10,010,1537.5,58.577,60.391,0.809,24.599,8.892,1.735,1536.888,672248.2,5493785,-1387.228
10,010,1550,65,66.814,0.809,24.958,9.083,2,1549.382,672248.6,5493786,-1399.722
10,010,1562.5,60,61.814,0.418,25.344,9.284,1.992,1561.874,672249,5493786,-1412.214
10,010,1575,55,56.814,0.418,25.711,9.517,2,1574.366,672249.4,5493786,-1424.706
10,010,1587.5,50.716,52.53,0.701,26.037,9.763,1.743,1586.86,672249.7,5493786,-1437.2
10,010,1600,45,46.814,0.701,26.3,9.999,1.5,1599.355,672249.9,5493786,-1449.695
10,010,1612.5,47.857,49.671,0.627,26.557,10.243,1.748,1611.85,672250.2,5493786,-1462.19
10,010,1625,50,51.814,0.627,26.865,10.511,2,1624.343,672250.5,5493786,-1474.683
10,010,1650,50,51.814,0,27.534,11.072,2,1649.328,672251.2,5493788,-1499.668
10,010,1662.5,55,56.814,0.418,27.879,11.336,1.992,1661.82,672251.6,5493788,-1512.16
10,010,1675,60,61.814,0.418,28.246,11.57,2,1674.313,672251.9,5493788,-1524.653
10,010,1687.5,67.5,69.314,0.626,28.634,11.762,1.983,1686.805,672252.3,5493788,-1537.145
10,010,1700,75,76.814,0.626,29.045,11.901,2,1699.298,672252.7,5493788,-1549.638
10,010,1712.5,72.222,74.036,0.644,29.489,12.032,2.248,1711.789,672253.1,5493788,-1562.129
10,010,1725,70,71.814,0.644,29.978,12.2,2.5,1724.278,672253.6,5493788,-1574.618
10,010,1750,70,71.814,0,31.003,12.573,2.5,1749.255,672254.7,5493789,-1599.595
10,010,1762.5,70,71.814,0.6,31.49,12.751,2.25,1761.744,672255.1,5493789,-1612.084
10,010,1775,70,71.814,0.6,31.925,12.909,2,1774.235,672255.6,5493789,-1624.575
10,010,1787.5,72.5,74.314,0.209,32.338,13.049,1.998,1786.728,672256,5493789,-1637.068
10,010,1800,75,76.814,0.209,32.757,13.171,2,1799.22,672256.4,5493790,-1649.56
10,010,1812.5,72.5,74.314,0.209,33.175,13.293,1.998,1811.712,672256.8,5493790,-1662.052
10,010,1825,70,71.814,0.209,33.588,13.433,2,1824.205,672257.2,5493790,-1674.545
10,010,1837.5,72.5,74.314,0.209,34.001,13.573,1.998,1836.697,672257.7,5493790,-1687.037
10,010,1850,75,76.814,0.209,34.419,13.695,2,1849.19,672258.1,5493790,-1699.53
10,010,1862.5,72.222,74.036,0.644,34.863,13.827,2.248,1861.681,672258.5,5493790,-1712.021
10,010,1875,70,71.814,0.644,35.353,13.995,2.5,1874.17,672259,5493790,-1724.51
10,010,1887.5,74.443,76.257,0.761,35.845,14.154,2.242,1886.659,672259.5,5493790,-1736.999
10,010,1900,80,81.814,0.761,36.295,14.257,2,1899.151,672259.9,5493790,-1749.491
10,010,1912.5,70,71.814,0.833,36.712,14.368,1.97,1911.643,672260.4,5493790,-1761.983
10,010,1925,60,61.814,0.833,37.102,14.551,2,1924.136,672260.8,5493790,-1774.476
10,010,1937.5,62.143,63.957,0.627,37.46,14.749,1.748,1936.629,672261.1,5493791,-1786.969
10,010,1950,65,66.814,0.627,37.777,14.907,1.5,1949.124,672261.4,5493791,-1799.464
10,010,1962.5,60,61.814,0.314,38.066,15.058,1.494,1961.62,672261.8,5493791,-1811.96
10,010,1975,55,56.814,0.314,38.341,15.233,1.5,1974.116,672262,5493792,-1824.456
10,010,2000,55,56.814,0,38.877,15.609,1.5,1999.107,672262.6,5493792,-1849.447
10,010,2012.5,57.857,59.671,0.627,39.173,15.804,1.748,2011.602,672262.8,5493792,-1861.942
10,010,2025,60,61.814,0.627,39.523,16.014,2,2024.095,672263.2,5493792,-1874.435
10,010,2037.5,55.716,57.53,0.701,39.869,16.231,1.743,2036.589,672263.5,5493792,-1886.929
10,010,2050,50,51.814,0.701,40.151,16.443,1.5,2049.084,672263.8,5493792,-1899.424
10,010,2062.5,57.5,59.314,0.47,40.414,16.635,1.487,2061.58,672264.1,5493793,-1911.92
10,010,2075,65,66.814,0.47,40.699,16.791,1.5,2074.075,672264.4,5493793,-1924.415
10,010,2087.5,52.5,54.314,0.779,40.974,16.958,1.464,2086.571,672264.6,5493793,-1936.911
10,010,2100,40,41.814,0.779,41.206,17.18,1.5,2099.067,672264.9,5493794,-1949.407
10,010,2112.5,45,46.814,0.314,41.426,17.421,1.494,2111.563,672265.1,5493794,-1961.903
10,010,2125,50,51.814,0.314,41.667,17.641,1.5,2124.058,672265.3,5493794,-1974.398
10,010,2137.5,42.5,44.314,0.47,41.901,17.866,1.487,2136.554,672265.6,5493794,-1986.894
10,010,2150,35,36.814,0.47,42.105,18.12,1.5,2149.05,672265.8,5493794,-1999.39
10,010,2162.5,40,41.814,0.314,42.303,18.379,1.494,2161.546,672265.9,5493794,-2011.886
10,010,2175,45,46.814,0.314,42.524,18.619,1.5,2174.042,672266.2,5493795,-2024.382
10,010,2187.5,50,51.814,0.314,42.764,18.839,1.494,2186.537,672266.4,5493795,-2036.877
10,010,2200,55,56.814,0.314,43.023,19.038,1.5,2199.033,672266.7,5493795,-2049.373
10,010,2212.5,70,71.814,0.932,43.306,19.186,1.449,2211.529,672266.9,5493796,-2061.869
10,010,2225,85,86.814,0.932,43.617,19.254,1.5,2224.025,672267.2,5493796,-2074.365
10,010,2237.5,79.284,81.098,0.701,43.967,19.304,1.743,2236.52,672267.6,5493796,-2086.86
10,010,2250,75,76.814,0.701,44.365,19.396,2,2249.013,672268,5493796,-2099.353
10,010,2262.5,72.222,74.036,0.644,44.809,19.527,2.248,2261.505,672268.5,5493796,-2111.845
10,010,2275,70,71.814,0.644,45.298,19.695,2.5,2273.994,672268.9,5493796,-2124.334
10,010,2283.333,70,71.814,1.2,45.663,19.828,2.833,2282.318,672269.3,5493796,-2132.658
10,010,2291.667,70,71.814,1.2,46.072,19.977,3.167,2290.64,672269.8,5493796,-2140.98
10,010,2300,70,71.814,1.2,46.528,20.143,3.5,2298.959,672270.2,5493796,-2149.299
10,010,2325,70,71.814,0,47.962,20.665,3.5,2323.913,672271.6,5493797,-2174.253
10,010,2337.5,67.692,69.506,0.689,48.648,20.929,3.247,2336.391,672272.3,5493797,-2186.731
10,010,2350,65,66.814,0.689,49.272,21.202,3,2348.872,672272.9,5493798,-2199.212
10,010,2362.5,67.5,69.314,0.314,49.87,21.465,2.997,2361.355,672273.5,5493798,-2211.695
10,010,2375,70,71.814,0.314,50.479,21.702,3,2373.838,672274.1,5493798,-2224.178
10,010,2387.5,70,71.814,0.6,51.069,21.917,2.75,2386.322,672274.8,5493798,-2236.662
10,010,2400,70,71.814,0.6,51.607,22.112,2.5,2398.809,672275.2,5493798,-2249.149
10,010,2412.5,67.5,69.314,0.262,52.114,22.31,2.498,2411.297,672275.8,5493798,-2261.637
10,010,2425,65,66.814,0.262,52.613,22.529,2.5,2423.785,672276.2,5493798,-2274.125
10,010,2437.5,67.727,69.541,0.665,53.137,22.758,2.747,2436.272,672276.8,5493799,-2286.612
10,010,2450,70,71.814,0.665,53.722,22.983,3,2448.757,672277.4,5493799,-2299.097
10,010,2458.333,63.364,65.177,1.25,54.119,23.155,2.96,2457.079,672277.8,5493800,-2307.419
10,010,2466.667,56.636,58.45,1.25,54.491,23.369,2.96,2465.401,672278.1,5493800,-2315.741
10,010,2475,50,51.814,1.25,54.838,23.628,3,2473.723,672278.5,5493800,-2324.063
10,010,2487.5,47.5,49.314,0.314,55.329,24.059,2.997,2486.206,672279,5493800,-2336.546
10,010,2500,45,46.814,0.314,55.801,24.511,3,2498.689,672279.4,5493800,-2349.029
10,010,2512.5,42.727,44.541,0.665,56.236,24.962,2.747,2511.173,672279.9,5493801,-2361.513
10,010,2525,40,41.814,0.665,56.614,25.391,2.5,2523.66,672280.2,5493802,-2374
10,010,2537.5,45.455,47.269,0.829,57.003,25.809,2.74,2536.147,672280.7,5493802,-2386.487
10,010,2550,50,51.814,0.829,57.466,26.229,3,2548.631,672281.1,5493802,-2398.971
10,010,2562.5,45.455,47.269,0.829,57.93,26.649,2.74,2561.116,672281.6,5493803,-2411.456
10,010,2575,40,41.814,0.829,58.318,27.067,2.5,2573.603,672282,5493804,-2423.943
10,010,2587.5,42.5,44.314,0.262,58.677,27.477,2.498,2586.091,672282.3,5493804,-2436.431
10,010,2600,45,46.814,0.262,59.054,27.871,2.5,2598.579,672282.7,5493804,-2448.919
10,010,2612.5,42.273,44.087,0.665,59.448,28.285,2.747,2611.066,672283.1,5493804,-2461.406
10,010,2625,40,41.814,0.665,59.86,28.757,3,2623.55,672283.5,5493805,-2473.89
10,010,2637.5,40,41.814,0.6,60.263,29.238,2.75,2636.034,672283.9,5493806,-2486.374
10,010,2650,40,41.814,0.6,60.631,29.676,2.5,2648.521,672284.3,5493806,-2498.861
