wellName,datasetName,MD,AZIM_GN,AZIM_TN,DLS,DX,DY,INCL,TVD,X,Y,Z
,,m,,,,,,,,,,
283,283,283,0,1.8634781042,0,-3e-09,2.8e-09,0,283,677161.7,5489984,-117.86
283,283,2150,0,1.8634781042,0,-3e-09,2.8e-09,0,2150,677161.7,5489984,-1984.86
283,283,2166.6666667,60,61.863478104,0.9,0.0629778316,0.0363602722,0.5,2166.6664551,677161.76298,5489984.0364,-2001.526455
283,283,2183.3333333,60,61.863478104,0.9,0.2519065377,0.1454383126,1,2183.331641,677161.95191,5489984.1454,-2018.191641
283,283,2200,60,61.863478104,0.9,0.5667717289,0.3272258155,1.5,2199.9942886,677162.26677,5489984.3272,-2034.854289
283,283,2220,40.892452645,42.75593075,1.0796559913,1.0155113919,0.7145096958,1.9437311665,2219.985371,677162.71551,5489984.7145,-2054.845371
283,283,2240,29.646907536,31.51038564,1.0796559913,1.4549004387,1.352782595,2.5183598514,2239.9702219,677163.1549,5489985.3528,-2074.830222
283,283,2260,22.740166956,24.60364506,1.0796559913,1.8848695267,2.241943785,3.1531153519,2259.9456876,677163.58487,5489986.2419,-2094.805688
283,283,2280,18.188958477,20.052436581,1.0796559913,2.3053507986,3.381852949,3.8181266362,2279.9086157,677164.00535,5489987.3819,-2114.768616
283,283,2300,15,16.863478104,1.0796559913,2.7162778948,4.7723301984,4.5,2299.8558559,677164.41628,5489988.7723,-2134.715856
283,283,2325,13.553672941,15.417151045,0.3269711594,3.212499568,6.7251201868,4.7462995006,2324.7745052,677164.9125,5489990.7251,-2159.634505
283,283,2350,12.250471813,14.113949917,0.3269711594,3.6858365301,8.7942316625,4.9953123304,2349.6842105,677165.38584,5489992.7942,-2184.544211
283,283,2375,11.071270844,12.934748948,0.3269711594,4.1362780731,10.979617836,5.2466521676,2374.5844087,677165.83628,5489994.9796,-2209.444409
283,283,2400,10,11.863478104,0.3269711594,4.5638140056,13.281229279,5.5,2399.4745365,677166.26381,5489997.2812,-2234.334536
283,283,2425,8.5881016511,10.451579755,0.3382285086,4.9587226924,15.698432832,5.7455943145,2424.3542419,677166.65872,5489999.6984,-2259.214242
283,283,2450,7.2922925756,9.1557706798,0.3382285086,5.3112828273,18.230590138,5.9943700307,2449.2231468,677167.01128,5490002.2306,-2284.083147
283,283,2475,6.0999408231,7.9634189273,0.3382285086,5.6214858755,20.87763992,6.2459470116,2474.0806494,677167.32149,5490004.8776,-2308.940649
283,283,2500,5,6.8634781042,0.3382285086,5.889324325,23.639518117,6.5,2498.9261482,677167.58932,5490007.6395,-2333.786148
283,283,2520,8.3401929299,10.203671034,0.6225340785,6.1562251044,25.914830693,6.6606006533,2518.79446,677167.85623,5490009.9148,-2353.65446
283,283,2540,11.51373503,13.377213134,0.6225340785,6.5622706452,28.229855918,6.8425435335,2538.6558265,677168.26227,5490012.2299,-2373.515826
283,283,2560,14.515108856,16.37858696,0.6225340785,7.1074396418,30.584472334,7.0441750722,2558.5092054,677168.80744,5490014.5845,-2393.369205
283,283,2580,17.343108356,19.20658646,0.6225340785,7.7917034904,32.9785564,7.2638558592,2578.3535551,677169.4917,5490016.9786,-2413.213555
283,283,2600,20,21.863478104,0.6225340785,8.6150262888,35.411982508,7.5,2598.1878345,677170.31503,5490019.412,-2433.047834
283,283,2633.3333333,21.666204287,23.529682391,0.1957282258,10.161548617,39.476232471,7.4937272712,2631.2362743,677171.86155,5490023.4762,-2466.096274
283,283,2666.6666667,23.333795713,25.197273817,0.1957282258,11.8249722,43.492094293,7.4937272712,2664.2849521,677173.52497,5490027.4921,-2499.144952
283,283,2700,25,26.863478104,0.1957282258,13.605273076,47.459510128,7.5,2697.3333919,677175.30527,5490031.4595,-2532.193392
283,283,2733.3333333,26.666204287,28.529682391,0.1957282258,15.500132982,51.373506276,7.4937272712,2730.3818317,677177.20013,5490035.3735,-2565.241832
283,283,2766.6666667,28.333795713,30.197273817,0.1957282258,17.507232007,55.229109812,7.4937272712,2763.4305096,677179.20723,5490039.2291,-2598.29051
283,283,2800,30,31.863478104,0.1957282258,19.626541236,59.026265191,7.5,2796.4789494,677181.32654,5490043.0263,-2631.338949
283,283,2825,27.897766235,29.761244339,0.5700878475,21.165947083,61.80605938,7.1071495748,2821.2761085,677182.86595,5490045.8061,-2656.136109
283,283,2850,25.554405353,27.417883457,0.5700878475,22.520989744,64.493446101,6.7248618162,2846.0942062,677184.22099,5490048.4934,-2680.954206
283,283,2875,22.934878267,24.798356371,0.5700878475,23.691576059,67.088240586,6.3550432415,2870.9315361,677185.39158,5490051.0882,-2705.791536
283,283,2900,20,21.863478104,0.5700878475,24.67762555,69.590264435,6,2895.7863906,677186.37763,5490053.5903,-2730.646391
283,283,2925,21.086847984,22.950326088,0.3323946885,25.574784198,71.985781738,5.7462988278,2920.6551501,677187.27478,5490055.9858,-2755.51515
283,283,2950,22.273277314,24.136755418,0.3323946885,26.47873129,74.261135468,5.4948400285,2945.5349462,677188.17873,5490058.2611,-2780.394946
283,283,2975,23.572522448,25.436000552,0.3323946885,27.3894457,76.416272448,5.2459460719,2970.4251975,677189.08945,5490060.4163,-2805.285198
283,283,3000,25,26.863478104,0.3323946885,28.306906148,78.451142303,5,2995.3253222,677190.00691,5490062.4511,-2830.185322
283,283,3024.5,29.269174752,31.132652856,0.5335965954,29.30233724,80.389780167,5.2135839099,3019.7281452,677191.00234,5490064.3898,-2854.588145
283,283,3049,33.183616645,35.047094749,0.5335965954,30.483770721,82.335167338,5.4536174305,3044.1221331,677192.18377,5490066.3352,-2878.982133
283,283,3073.5,36.754042866,38.61752097,0.5335965954,31.851138254,84.287191285,5.7167698433,3068.5058746,677193.55114,5490068.2872,-2903.365875
283,283,3098,40,41.863478104,0.5335965954,33.404360747,86.245739099,6,3092.8779594,677195.10436,5490070.2457,-2927.737959
